RBD;NOMBRE;DEPENDENCIA;DIRECCIÓN;REGION;COMUNA;DIRECTOR/A;E- MAIL DIRECTOR/A;TELEFONO;E- MAIL ESTABLECIMIENTO ;Discapacidad Auditiva;Discapacidad Intelectual;Discapacidad Visual; Trastornos Específicos del Lenguaje; Transtornos Motores; Autismo; Discapacidad Graves Alteraciones en la Capacidad de Relación y Comunicación; Discapacidad Múltiple; Sordoceguera
31049;ESCUELA ESPECIAL DE LENGUAJE NIDO DE LUZ;Particular Subvencionado;CANELA ALTA 2748;13;PUENTE ALTO;NORMA PATRICIA MORAGA ONETO;NIDODELUZ@GMAIL.COM;02-9818453;NIDODELUZ@GMAIL.COM;;;;ü;;;;;
31051;ESCUELA ESPECIAL SAN LUIS DEL BOSQUE;Particular Subvencionado;COLO-COLO N°9915 ;13;EL BOSQUE;MARÍA SOLEDAD ÁVILA DÍAZ;SOLEDAD.AVILA@GMAIL.COM;02-25591227;ESCUELASANLUISDELBOSQUE@GMAIL.COM;;ü;;;;ü;;;
31053;ESCUELA ESPECIAL PALABRAS MAGICAS;Particular Subvencionado;STRAVINSKY 3068;13;SAN JOAQUÍN;JESSICA JEANNETTE LILLO FUENZALIDA;JESSYFUEN@HOTMAIL.COM;02-5531055;JESSYFUEN@HOTMAIL.COM;;;;ü;;;;;
31056;ESCUELA ESPECIAL SANTA ANA;Particular Subvencionado;PARCELA 18 EL MOLINO CULIPRAN S/N;13;MELIPILLA;ANA KARINA DUARTE MENDOZA;LENGUAJESANTAANA@HOTMAIL.COM;23-2474578;SOLEDADQUERALTO@YAHOO.ES;;;;ü;;;;;
31063;ESCUELA ESPECIAL PIECECITOS DE NIÑOS;Particular Subvencionado;CARLOS VIAL INFANTE   1445 (EX LOTE NUMERO10PARCELA15 EX EL LLANO 1445;13;PIRQUE;GLADYS YOLANDA ESPINOZA CASTILLO;GYEC@HOTMAIL.CL;2-28495595;ESCUELAPIECECITOSDENINOS@HOTMAIL.CL;;;;ü;;;;;
31069;ESCUELA ESPECIAL NUEVA AURORA;Particular Subvencionado;AUGUSTO D`HALMAR 290;13;PUENTE ALTO;LILY GEMMA MORENO SIÑIGA;ESCUELANUEVAAURORA@GMAIL.COM;09-97765501;ESCUELANUEVAAURORA@GMAIL.COM;;;;;;;ü;;
31072;ESCUELA ESPECIAL EL RINCON DE JOSEFINA;Particular Subvencionado;MANUEL RODRIGUEZ 1706;13;RENCA;MARIELA DE LOS ANGELES MONTANER LUCERO;ESCUELARINCONDEJOSEFINA@GMAIL.COM;02-6468400;ESCUELARINCONDEJOSEFINA@GMAIL.COM;;;;ü;;;;;
31073;ESCUELA DE PARVULOS Y ESPECIAL MANITOS CREATI;Particular Subvencionado;MÚSICO VICTOR TEVAH TELLIAS 2950 ;13;CERRILLOS;FANNY MARGOT QUINTANILLA POLLONI;FANNY.QUINTANILLA@GMAIL.COM;02-5311621;MANITOS.CREATIVAS50@GMAIL.COM;;;;ü;;;;;
31075;ESCUELA DE LENGUAJE ECOLOGICA ANDALEN;Particular Subvencionado;SARGENTO ALDEA 495;13;EL BOSQUE;TAMARA ROSA SEPÚLVEDA CÉSPEDES;TAMASEP@GMAIL.COM;02-9878294;ESCUELA.ECOLOGICA.ANDALEN@GMAIL.COM;;;;ü;;;;;
31077;ESCUELA ESPECIAL PANDY;Particular Subvencionado;CALLE  EL  BOSQUE 101;13;MAIPÚ;MARINKA ELIZABETH RETAMAL JORQUERA;MRETAMAL@PANDY.CL;00-5372215;MRETAMAL@PANDY.CL;;;;ü;;;;;
31081;ESCUELA  SAN  IGNACIO  DE  BUIN;Particular Subvencionado;LA CRUZ 1420;13;BUIN;ESTELA ELIZABETH PEÑALOZA VILLAGRA;DIRECCIONSNIGNACIO@GMAIL.COM;2-28213329;SANIGNACIOBUIN@GMAIL.COM;;;;ü;;;;;
31082;ESC. DE LENGUAJE PEWUNGUEN, TIEMPOS DE BROTES;Particular Subvencionado; ;13;PEÑALOLÉN;INGRID DAISY DE LOURDES GONZÁLEZ CLIFT;INGRID.CLIFT@GMAIL.COM;02-29932028;ingrid.clift@gmail.com;;;;ü;;;;;
31086;ESCUELA ESPECIAL DE LENGUAJE SANTA MARÍA;Particular Subvencionado;LOS MISIONEROS 1516;8;LOS ÁNGELES;PAOLA ANDREA ESCOBAR CID;PAOESCOBARCID@GMAIL.COM;43-395123;ESCUELADELENGUAJE.SANTAMARIA@GMAIL.COM;;;;ü;;;;;
31087;COLEGIO ALCÁZARES DE ÑUBLE;Particular Subvencionado;CAMINO A LAS MARIPOSAS KM. 7 CHILLÁN 5714;16;CHILLÁN;SANDRA FABIOLA BRAVO SALINAS;SANDRABRAVOSALINAS@GMAIL.COM;42-2234779;ALCAZARESDENUBLE@GMAIL.COM;;;;ü;;;;;
31088;ESCUELA ESPECIAL LENGUAJE PALABRAS MÁGICAS;Particular Subvencionado;CALLE 1 ESTERO LA MORA ESCUADRÓN-CORONEL S/N;8;CORONEL;JIMMY ANDRÉS BASTÍAS TORRES;JIMMYANDRES.BT@GMAIL.COM;41-2751605;XTORRES.PALABRASMAGICAS@GMAIL.COM;;;;ü;;;;;
31089;ESCUELA ESPECIAL RAYITO DE SOL;Particular Subvencionado;ARRIAGADA Nº 1090 S/N;8;MULCHÉN;CELESTINA DEL ROSARIO CEA PINO;CELESTINACEA@CERAYITODESOL.CL;43-2562262;EDUCARBIOBIO@YAHOO.ES;;ü;;;;;;;
31090;COMPLEJO EDUCACIONAL VALLE DEL ITATA;Particular Subvencionado;LOTE 8 SUBDIVICIÓN FUNDO LA PATAGUA S/N - ÑIPAS S/N;16;RÁNQUIL;MARÍA SOLEDAD INOSTROZA NEGRETE;PROFE732003@HOTMAIL.COM;42-2971850;CVALLEDELITATA@GMAIL.COM;;;;ü;;;;;
31091;ESCUELA ESPECIAL PLAY WITH ME;Particular Subvencionado;FRANCISCO  QUIÑONES N°162 ;8;CONCEPCIÓN;MARÍA JOSÉ MALDONADO CAMPOS;MARIAJOSEMALDONADOC@GMAIL.COM;-;MARIAJOLOP1@HOTMAIL.COM;;ü;;;;;;;
31092;ESCUELA ESPECIAL CENTRO DE CAPACITACIÓN E INTEGRACIÓN LABORAL KRIES;Particular Subvencionado;CALLE 8 ORIENTE ESQUINA CALLE 3 CHIGUAYANTE S/N;8;CHIGUAYANTE;ANA ESTER KRIES SAAVEDRA;CENCALKRIES2011@GMAIL.COM;04-2369183;CENCALKRIES2011@GMAIL.COM;;ü;;;;;;;
31094;ESCUELA ESPECIAL DE LENGUAJE TESÓN MINERO;Particular Subvencionado;RENE SCHNEIDER 76;8;LOTA;MARTA HORTENCIA MATAMALA SILES;ESCUELATESONMINERO@GMAIL.COM;41-2871051;ESCUELATESONMINERO@GMAIL.COM;;;;ü;;;;;
31097;ESCUELA ESPECIAL DE LENGUAJE MUNICIPAL EL CARMEN;Particular Subvencionado;CALLE JUAN CANUDAS 141;16;EL CARMEN;KATHERINE ANDREA LAGOS OCAMPO;KATTHY.LAG@GMAIL.COM;9-73892604;KATTHY.LAG@GMAIL.COM;;;;ü;;;;;
31098;COLEGIO PARTICULAR PEMUCO;Particular Subvencionado;CLAUDIO CARRASCO 368;16;PEMUCO;MARJOLAINE SINELA DEL PILAR GUÍÑEZ NÚÑEZ;COLEGIOPEMUCO@HOTMAIL.COM;09-86237881;COLEGIOPEMUCO@HOTMAIL.COM;;ü;;;;;;;
31099;ESCUELA ESPECIAL DE LENGUAJE RUCALAF;Particular Subvencionado;ALONSO DE ERCILLA 17;8;ARAUCO;VANESSA MARIEL ARÉVALO SANTIBÁÑEZ;VANEEDAN2901@YAHOO.COM;09-92357724;RUCALAF_ESC@YAHOO.ES;;;;ü;;;;;
31100;ESCUELA ESPECIAL DIFERENCIAL NIDAL;Particular Subvencionado;BAHÍA INGLESA 1396;8;TALCAHUANO;DIEGO IVÁN GARCÍS MONSALVE;PROFEDIEGOGARCES@GMAIL.COM;9-56792427;YMARDONES@GMAIL.COM;;ü;;;;;;;
31105;ESCUELA ESPECIAL DE LENGUAJE ANIDAPALABRAS;Particular Subvencionado;BILBAO 221;16;CHILLÁN;CLAUDIA ANDREA JIMÉNEZ FERRADA;ANIDAPALABRASESCUELALENGUAJE@GMAIL.COM;42-2242107;ANIDAPALABRAS@HOTMAIL.COM;;;;ü;;;;;
31108;ESCUELA ESPECIAL DE LENGUAJE Y COLEGIO BÁSICO CUMBRES DEL VALLE COLLEGE;Particular Subvencionado;LAS HERAS 503;16;QUILLÓN;CLAUDIA CECILIA BRAVO MILLAS;BRAVOMILLAS@HOTMAIL.COM;42-581094;BELLASPALABRAS@GMAIL.COM;;;;ü;;;;;
31111;ESCUELA ESPECIAL DE LENGUAJE TIERRA DE NIÑOS;Particular Subvencionado;AVENIDA LOS CEREZOS 460;8;TOMÉ;EDITA REBECA OÑATE MUÑOZ;EDITA_REBECA@HOTMAIL.COM;41-2652998;ESCUELALENGUAJETIERRA@HOTMAIL.COM;;;;ü;;;;;
31113;INSTITUTO DE ESTIMULACIÓN TEMPRANA APEGO SEGURO;Particular Subvencionado;AVENIDA SORVICENTA 2686;8;LOS ÁNGELES;LORENA MABEL SILVA RUBIO;IET.APEGO@GMAIL.COM;43-2360356;IET.APEGO@GMAIL.COM;;ü;;;;;;;
31114;ESCUELA DE ESPECIAL LENGUAJE ALIWENKO;Particular Subvencionado;LOS CEREZOS 2994;8;CORONEL;KAREN ELIETTE ARROYO SALAZAR;KARENARROYOSALAZAR@GMAIL.COM;41-2715457;LENGUAJEALIWENKO@GMAIL.COM;;;;ü;;;;;
31115;ESCUELA ESPECIAL DE LENGUAJE SONRISAS;Particular Subvencionado;COVADONGA 92;8;ARAUCO;CAROL ALEJANDRA ROLDÁN MELLA;ESCUELASONRISAS@GMAIL.COM;44-2162239;ESCUELASONRISAS@GMAIL.COM;;;;ü;;;;;
31117;ESCUELA ESPECIAL DE LENGUAJE CUMBRES DE COBQUECURA;Particular Subvencionado;BALMACEDA 844;16;COBQUECURA;CAROLINA AMARILYS ACUÑA VEGA;CUMBRESDECOBQUECURA@GMAIL.COM;42-1972790;CUMBRESDECOBQUECURA@GMAIL.COM;;;;ü;;;;;
31118;ESCUELA ESPECIAL DE LENGUAJE EXPLORADORES DEL SABER;Particular Subvencionado;LAUTARO 517;8;CORONEL;ANGELA ANDREA TORRES MOLINA;EXPLORADORES.SABER@GMAIL.COM;41-2770952;EXPLORADORES.SABER@GMAIL.COM;;;;ü;;;;;
31120;ESCUELA ESPECIAL DE LENGUAJE YUPANQUI;Particular Subvencionado;VILLA LOS ESCRITORES ;8;SAN PEDRO DE LA PAZ;ADRIANA MAGDALENA LIZAMA CONTRERAS;ADRYLIZA@HOTMAIL.COM;41-2464262;ALEJANDRA.YUPANQUI@GMAIL.COM;;;;ü;;;;;
31122;ESCUELA ESPECIAL DE LENGUAJE GOLDEN HOUSE;Particular Subvencionado;SARGENTO ALDEA 751;8;CURANILAHUE;MACARENA MARÍA CANDIA GUTIÉRREZ;MAMAKAN79@YAHOO.ES;41-2691336;ESCUELAGOLDENHOUSECHUE@GMAIL.COM;;;;ü;;;;;
31123;ESCUELA ESPECIAL DE LENGUAJE EXPRESIONES;Particular Subvencionado;CARRERA 843;16;CHILLÁN;KARINA MARIBEL VÁSQUEZ CAYUQUEO;KMVASQUEZC@HOTMAIL.ES;42-2323099;LENGUAJE_EXPRESIONES@HOTMAIL.COM;;;;ü;;;;;
31125;ESCUELA ESPECIAL DE LENGUAJE ALIHUEN;Particular Subvencionado;INDEPENDENCIA 656;8;LOS ÁLAMOS;NATALIA ANDREA VILLAGRÁN CORONADO;ESCUELA.ALIHUEN@GMAIL.COM;41-2533064;ESCUELA.ALIHUEN@GMAIL.COM;;;;ü;;;;;
31129;ESCUELA ESPECIAL DE LENGUAJE SANTA DOMINGA;Particular Subvencionado;MINERO RICARDO GARRIDO ARCE 895;8;CORONEL;MANUEL ARNALDO ORTIZ URRA;TANYMAN166@HOTMAIL.COM;41-2956783;ESCUELADELENGUAJESANTADOMINGA@GMAIL.COM;;;;ü;;;;;
31133;ESCUELA ESPECIAL DIFERENCIAL CTRO.EDUC.DE DESARROLLO Y ESTIM ESP. PEQUEÑO NAZARENO;Particular Subvencionado;42996 240;16;CHILLÁN;CAROLINA ANDREA SALAZAR PALMA;CETPNAZARENO@GMAIL.COM;-;CETPNAZARENO@GMAIL.COM;;ü;;;;;;;
31135;ESCUELA ESPECIAL DE LENGUAJE ELUNEY;Particular Subvencionado;CARLOS PALACIOS 1035;16;BULNES;VALERIA VALESKA SEGUEL AGUILERA;VALERIA.SEGUEL@PORVENIRSCHOOL.CL;42-2631447;VALERIA.SEGUEL@PORVENIRSCHOOL.CL;;;;ü;;;;;
31136;ESCUELA ESPECIAL DE LENGUAJE MUNDO PALABRITAS;Particular Subvencionado;SECTOR CHACAYAL SUR CALLE SANTA EMILIA 422;8;LOS ÁNGELES;YEIMI YOLANDA MORA CUEVAS;YEIMIMORACUEVAS@GMAIL.COM;43-2290702;ESCUELAMUNDOPALABRITAS@GMAIL.COM;;;;ü;;;;;
31137;ESCUELA ESPECIAL DE LENGUAJE LETRITAS;Particular Subvencionado;AVDA. OHIGGINS - SECTOR SANTA FE 452;8;LOS ÁNGELES;YEYSSY DEL PILAR CUEVAS TRONCOSO;YEYSSYCUEVAS@HOTMAIL.COM;43-2310538;YEYSSYCUEVAS@HOTMAIL.COM;;;;ü;;;;;
31138;ESCUELA DE LENGUAJE PEQUEÑO ROBLE;Particular Subvencionado;ABATE MOLINA 115;13;PUENTE ALTO;MARCIA ANGÉLICA RUIZ ACEVEDO;PEQUENOROBLE@GMAIL.COM;02-28532463;PEQUENOROBLE@GMAIL.COM;;;;ü;;;;;
31139;ESCUELA ESPECIAL RENACER;Particular Subvencionado;EL LABRADOR 17121;13;MAIPÚ;MARCELA DEL CARMEN SALAMANCA VELÁSQUEZ;ESC.RENACER@HOTMAIL.COM;2-28953291;ESC.RENACER@HOTMAIL.COM;;;;ü;;;;;
31140;ESCUELA ESPECIAL DIFERENCIAL NUEVO AMANECER;Particular Subvencionado;HOEVEL 4324;13;QUINTA NORMAL;MARÍA LORETO DEL CARMEN VALENZUELA CONCHA;LORETOVALENZUELA51@GMAIL.COM;02-29869231;ESCUELADIFERENCIALN.AMANECER@GMAIL.COM;;ü;;;;ü;;;
31141;ESCUELA ESPECIAL DE LENGUAJE RENACER 1;Particular Subvencionado;LOS LIRIOS 524 524;13;PUENTE ALTO;MARCELO ALEJANDRO VALENZUELA AMAYA;MARCELOV_1@YAHOO.ES;02-8725414;SONNIAJOFRE@GMAIL.COM;;;;ü;;;;;
31142;ESCUELA ESPECIAL MARIA GABRIELA;Particular Subvencionado;NATURALISTA PAVÓN 4077;13;ESTACIÓN CENTRAL;BEATRIZ ALEJANDRA FONSECA VILLALÓN;BEA.FONSECA73@GMAIL.COM;02-7642488;BEATRIZFONSECAV@GMAIL.COM;;;;ü;;;;;
31144;ESCUELA DE LENGUAJE MARIPOSITAS;Particular Subvencionado;J.J.PEREZ 923;13;SAN BERNARDO;MARÍA NISA DEL ROSARIO VALENZUELA PÉREZ;NISA.VALENZUELA@GMAIL.COM;02-8589163;BARBARA_IRARRAZABAL@YAHOO.ES;;;;ü;;;;;
31145;ESCUELA ESPECIAL DE LENGUAJE MUNDO RAVALEN;Particular Subvencionado;FRANCISCO CHACON 651;13;TALAGANTE;MARY RABY MAYANÉS;MRABY9@HOTMAIL.COM;02-25175128;MUNDORAVALEN@GMAIL.COM;;;;ü;;;;;
31148;ESC. ESP. DE LENGUAJE OMILEN ANTU;Particular Subvencionado;JULIO MONTT SALAMANCA 5906;13;CONCHALÍ;MÓNICA CRISTINA FLORES ROJAS;MONIFLO-R@HOTMAIL.COM;02-9836121;OMILEN-ANTU@HOTMAIL.COM;;;;ü;;;;;
31149;ESCUELA ESPECIAL DE LENGUAJE KAORY;Particular Subvencionado;AV. CARRASCAL 4664;13;QUINTA NORMAL;ANGÉLICA DEL PILAR ALARCÓN SANSANA;ANGELICAALARCONSANSANA@GMAIL.COM;02-27858578;ESCUELADELENGUAJEKAORY@GMAIL.COM;;;;ü;;;;;
31152;ESCUELA ESPECIAL LAS PEPAS;Particular Subvencionado;UNION 10968;13;LA FLORIDA;CLAUDIA DEL CARMEN TORO ZÚÑIGA;CTORO@ESCUELALASPEPAS.CL;02-2952171;AVEGA@ESCUELALASPEPAS.CL;;;;ü;;;;;
31154;ESCUELA CAMINA ALTO;Particular Subvencionado;REINA NORTE 200  VILLA ORO OLIMPICO 200;13;COLINA;CECILIA FLORENCIA LÓPEZ RIESCO;CECILIA.LOPEZ@CORPORACIONCOLINA.CL;09-81579016;CAMINAALTO@HOTMAIL.COM;;;;ü;;;;;
31155;ESCUELA  ESPECIAL  MANUEL RODRIGUEZ;Particular Subvencionado;MANUEL RODRIGUEZ 3172 3172;13;MAIPÚ;ALEJANDRA NATALIA LLANTÉN ALARCÓN;ESC.MANUELRODRIGUEZ@GMAIL.COM;02-7667655;ESC.MANUELRODRIGUEZ@GMAIL.COM;;;;ü;;;;;
31158;ESC. DE PARVULOS Y ESPECIAL;Particular Subvencionado;ENRIQUE SORO 1015;13;INDEPENDENCIA;JOCELYN PRISCILA AMÉSTICA MATUS;ESCUELA.LAURA.VICUNA7@GMAIL.COM;56-95498503;ESCUELA.LAURA.VICUNA7@GMAIL.COM;;;;ü;;;;;
31159;ESCUELA DE LENGUAJE CANTILLANA Nº181;Particular Subvencionado;AVDA. BERNARDO O´HIGGINS 1452;13;TALAGANTE;YEIMMY PATRICIA MORALES CÓRDOVA;YEIMMYMO@GMAIL.COM;02-8380410;ESCUELA.CANTILLANA@GMAIL.COM;;;;ü;;;;;
31164;ESC.ESP.DE  LENGUAJE  MIS  PEQUEÑOS TESOROS;Particular Subvencionado;CALLE SANTA BERTA 3067 ;13;MAIPÚ;KAREN ROXANA BODEVIN ARRIAGADA;BGMORENOM@GMAIL.COM;02-7892103;KARENCIOSA22@HOTMAIL.COM;;;;ü;;;;;
31165;ESCUELA ESPECIAL HUEPIL;Particular Subvencionado;GASPAR BANDA 4040;13;SAN MIGUEL;SARA DEL CARMEN PAREDES RAMOS;SDELCPAREDES@YAHOO.COM;02-33104792;ESCUELA.HUEPIL@GMAIL.COM;;;;ü;;;;;
31166;ESC. ESP. DE LENGUAJE CAMINO DE VIDA;Particular Subvencionado;ANDES 9213. 9213;13;PUDAHUEL;MARCIA CAROLINA ÑANCULEO TRINA;MARCITA_ITA23@HOTMAIL.COM;02-6678277;ESCUELADELENGUAJE.CAMINODEVIDA@GMAIL.COM;;;;ü;;;;;
31168;ESCUELA ESPECIAL CUNCUNITAS DE AMOR;Particular Subvencionado;CAMINO AL VOLCAN 17229;13;SAN JOSÉ DE MAIPO;GLORIA VIRGINIA DONOSO ABARCA;CUNCUNITASDEAMOR@GMAIL.COM;02-8611585;CUNCUNITASDEAMOR@GMAIL.COM;;;;ü;;;;;
31169;ESC. ESP. LENG. Y COMUNICACION SAN SEBASTIAN;Particular Subvencionado;AVDA. MEXICO 2070;13;PUENTE ALTO;ANDREA MAGDALENA JUDITH PALOMO CHACÓN;ESC.SANSEBASTIAN.PUENTEALTO@HOTMAIL.COM;02-22652903;ESC.SANSEBASTIAN.PUENTEALTO@HOTMAIL.COM;;;;ü;;;;;
31170;ESCUELA ESPECIAL  SANTA  LUISA;Particular Subvencionado;HOEVEL 5484;13;QUINTA NORMAL;MABELYN LISSETTE ESPINOZA AROS;ESCUELA.SANTALUISA@GMAIL.COM;02-7254336;ESCUELA.SANTALUISA@GMAIL.COM;;ü;;;;;;;
31171;ESCUELA DE PARVULOS Y ESPECIAL EUSEBIO LILLO;Particular Subvencionado;EUSEBIO LILLO 11595;13;LA FLORIDA;KAREN MAGDALENA HERNÁNDEZ GATICA;KAREN76.HERNANDEZ@GMAIL.COM;02-9985136;PATRICIAES17.01@GMAIL.COM;;;;ü;;;;;
31172;ESC. ESPECIAL DE LENGUAJE NOVA  AURORA;Particular Subvencionado;ORLEANS 3634;13;MAIPÚ;EBBY GIZEL LÓPEZ GAETE;DIRECTORAGENERAL.NOVAURORA@GMAIL.COM;02-27914185;ESCUELA.NOVAURORA@GMAIL.COM;;;;ü;;;;;
31173;ESC. ESPECIAL DE LENGUAJE KUMELEN;Particular Subvencionado;MANUEL ANTONIO MATTA 819;13;QUILICURA;DIANA DEL PILAR BUSTAMANTE CORREA;PSICOPEDAGOGA_08@LIVE.CL;02-26035718;SCORTES@EDUCACIONALKUMELEN.CL;;;;ü;;;;;
31176;ESCUELA ESPECIAL PIONERITOS;Particular Subvencionado;AV. VIOLETA PARRA 1576;13;LA PINTANA;INGRID MABEL RIVAS CAMPOS;INGRID_RIVAS_7@HOTMAIL.COM;02-5461804;ESCUELA_PIONERITOS@HOTMAIL.COM;;;;ü;;;;;
31178;ESCUELA ESP. DE LENGUAJE  SAN BENITO;Particular Subvencionado;JOSÉ MIGUEL RAMIREZ 2998;13;MAIPÚ;TAMARA MARIBEL LEIVA CABEZAS;TAMARALEIVA.SB@GMAIL.COM;22-5348966;ESCUELADELENGUAJESANBENITO@GMAIL.COM;;;;ü;;;;;
31179;ESCUELA ESPECIAL MANZANITA 1;Particular Subvencionado;LA RECONQUISTA 1373 - POBLACIÓN SAN GERONIMO 2 1373;13;PUENTE ALTO;FRANCISCA PAOLA ANDRADE VEGA;KARENSALAS@HOTMAIL.CL;09-97023109;JARDIN.MANZANITA@HOTMAIL.COM;;;;ü;;;;;
31181;ESCUELA ESPECIAL CENTRO EDUCACIONAL PUKARA;Particular Subvencionado;RUIZ TAGLE 70 70;13;COLINA;MARISA YAMILY RODRÍGUEZ DUARTE;CENTROPUKARA@GMAIL.COM;02-8441545;CENTROPUKARA@GMAIL.COM;;ü;;;;;;;
31182;ESCUELA ESPECIAL DE LENGUAJE EL CANELO;Particular Subvencionado;JOSE JOAQUIN PEREZ 64;13;BUIN;DAYANA MARÍA TOLEDO NARANJO;MIRANDA.CONSTANZA96@GMAIL.COM;02-28216967;ESCUELADELENGUAJEELCANELO@GMAIL.COM;;;;ü;;;;;
31183;ESCUELA DE PARVULOS MUNDO MAGICO;Particular Subvencionado;TERCERA AVENIDA 406 S/N;13;PADRE HURTADO;LORETO ANDREA FIGUEROA BRANDSTETTER;JARDININFANTIL.MUNDOMAGICO@GMAIL.COM;02-43042219;JARDININFANTIL.MUNDOMAGICO@GMAIL.COM;;;;ü;;;;;
31190;ESCUELA CUMBRES  DE  NOS;Particular Subvencionado;CAMINO NOS A LOS MORROS Nª1297 S/N;13;SAN BERNARDO;ROXANA ELIZABETH NÚÑEZ AYBAR;ESCUELACAMINONOS@GMAIL.COM;2-23216816;ESCUELACAMINONOS@GMAIL.COM;;;;ü;;;;;
31196;ESCUELA ESPECIAL MUNDO NUEVO;Particular Subvencionado;MUNDO NUEVO S/N SALAMANCA 100;4;SALAMANCA;ANDREA DEL PILAR GARCÍA VEGA;ESCUELAMUNDONUEVOSALAMANCA@GMAIL.COM;9-52382963;ESCUELAMUNDONUEVOSALAMANCA@GMAIL.COM;;ü;;;;;;;
31199;COLEGIO DE EDUCACION ESPECIAL ALCALA;Particular Subvencionado;CALLE PRINCIPAL CERES ;4;LA SERENA;NATALI MARCELA ARANEDA JIMÉNEZ;COLEGIOALCALALASERENA@GMAIL.COM;51-279419;COLEGIOALCALALASERENA@GMAIL.COM;;ü;;;;;;;
31200;ESCUELA DE LENGUAJE MI SOLCITO;Particular Subvencionado;AVENIDA ARGENTINA 3101;4;LA SERENA;RUBITH DANIELA ROJAS DÍAZ;RUBITH.ROJAS1@GMAIL.COM;51-2256221;ESCUELAMISOLCITO@GMAIL.COM;;;;ü;;;;;
31202;ESCUELA DE LENGUAJE SAN ANDRES;Particular Subvencionado;AVENIDA GASPAR MARÍN 2715;4;LA SERENA;LEICY GLAFIRA SILVA VALDEBENITO;DIRECCION.ACADEMICA.SANANDRRES@GMAIL.COM;51-281557;LENGUAJESANDRES@GMAIL.COM;;;;ü;;;;;
31203;COLEGIO DOMINGO SANTA MARIA;Particular Subvencionado;BAQUEDANO 493;4;VICUÑA;MARÍA FERNANDA NÚÑEZ VEGA;FERNANDA.NUNEZ@CDSMV.CL;51-2419043;COLEGIODOMINGOSANTAMARIA2011@GMAIL.COM;;;;ü;;;;;
31206;ESCUELA ESPECIAL DE LENGUAJE SEMBRANDO PALABR;Particular Subvencionado;RODOLFO WAGENKNECHT 3038;4;LA SERENA;CAMILA FERNANDA RIVERA IBACACHE;CAMILAFERNANDA.RIVERA@GMAIL.COM;51-2292744;ESEMBRANDOPALABRAS@GMAIL.COM;;;;ü;;;;;
31209;ESCUELA ESPECIAL DE LENGUAJE HAMELIN;Particular Subvencionado;PSJE.FRANCISCO DÍAZ RAMOS 2949;4;COQUIMBO;JUANA ADRIANA PEREIRA TAPIA;CARLA.SILVA.PEREIRA1@GMAIL.COM;56-22319018;CARLA.SILVA.PEREIRA1@GMAIL.COM;;;;ü;;;;;
31211;ESCUELA ESPECIAL DE LENGUAJE PEQUEÑA ORUGA;Particular Subvencionado;SAN JOAQUIN 1556;4;LA SERENA;VALESKA ANDREA SANTANDER CASTILLO;SANTANDER.VALESKA@GMAIL.COM;2-41318720;PEQUENAORUGA@GMAIL.COM;;;;ü;;;;;
31212;ESCUELA ESPECIAL DE LENGUAJE AMARANTA;Particular Subvencionado;PJE. RAMIRO ALVAREZ ECHEVERRIA 2263;4;LA SERENA;LORENA MARION LAMAS ROJAS;LAMASROJAS@GMAIL.COM;51-2529920;ESCUELA.AMARANTA@GMAIL.COM;;;;ü;;;;;
31214;ESCUELA ESP DE LENGUAJE LA FABRICA DE SUEÑOS;Particular Subvencionado;GUILLERMO ULRIKSEN 1629;4;LA SERENA;KARINA ANDREA ÁLVAREZ TORRES;KARINAANDREAALVAREZTORRES@GMAIL.COM;51-526580;ESCUELAFABRICADESUENOS@GMAIL.COM;;;;ü;;;;;
31215;ESC.ESP.DE TRAS ESPEC. DE LENGUAJE WENUI;Particular Subvencionado;PASAJE INTERIOR LOS OLIVOS 851;4;COQUIMBO;CAROLINA ALEJANDRA VEGA ARAYA;WENUI@HOTMAIL.CL;9-1886927;WENUI@HOTMAIL.CL;;;;ü;;;;;
31216;ESC ESPECIAL DE TRAS ESPEC DE LENG ANTARES;Particular Subvencionado;PINTOR ANTONIO GANA 1464;4;LA SERENA;MAYERLIN DEL CARMEN FIGUEROA ALVARADO;ESCUELADELENGUAJEANTARES@GMAIL.COM;09-5352145;ESCUELADELENGUAJEANTARES@GMAIL.COM;;;;ü;;;;;
31217;ESCUELA ESPECIAL DE LENGUAJE SUEÑO DORADO;Particular Subvencionado;ARTURO GORDON 1204;4;LA SERENA;MARI ISABEL SALINAS AGUILAR;MARIISABEL2012@GMAIL.COM;51-2782951;FAMILIADORADA@GMAIL.COM;;;;ü;;;;;
31218;ESCUELA CULTURAL DE LENGUAJE Y JARDÍN INFANTIL VALDANI;Particular Subvencionado;LAS DALIAS 691;4;COQUIMBO;VIVIANA PAULINA IBORRA CRISTOFORI;VALDANI2016@OUTLOOK.COM;51-2462264;ESCUELA_C_ALBORADA@HOTMAIL.CL;;;;ü;;;;;
31223;ESCUELA ESPECIAL DE LENGUAJE EL CASTILLO DEL SABER;Particular Subvencionado;PASAJE LUZMIRA PEÑAILILLO (LOTEO LAS PALMERAS) 665;4;LA SERENA;CAMILA ANDREA PASTÉN JOFRÉ;ESCUELAELCASTILLODELSABER@GMAIL.COM;51-2630460;DAVID.ARAYA.DIAZ.71@GMAIL.COM;;;;ü;;;;;
